recency	history_segment	history	mens	womens	zip_code	newbie	channel_phone	channel_web	segment_mens	segment_womens	visit	conversion	spend	history_norm
7	275	329.26	0	1	3	0	0	1	1	0	0	0	0.0	5.894901240392707
1	50	29.99	1	0	1	1	1	0	1	0	0	0	0.0	3.434456884946614
5	50	39.52	1	0	2	1	1	0	1	0	0	0	0.0	3.71609323592539
6	50	92.32	0	1	3	0	1	0	1	0	0	0	0.0	4.5848680477791275
10	425	375.9	0	1	3	0	0	1	1	0	0	0	0.0	6.031935819595869
9	50	29.99	1	0	3	0	0	1	1	0	0	0	0.0	3.434456884946614
9	275	220.51	1	0	3	0	1	1	1	0	0	0	0.0	5.480837127527306
6	50	78.69	0	1	2	0	1	0	1	0	0	0	0.0	4.420972138357169
1	150	179.63	1	0	2	0	1	0	1	0	1	0	0.0	5.269432817578759
8	50	59.76	0	1	3	1	0	1	1	0	0	0	0.0	4.138995749755187
4	275	320.17	0	1	3	1	1	0	1	0	0	0	0.0	5.865955571174536
1	150	103.07	1	0	2	0	0	1	1	0	0	0	0.0	4.697965993866394
2	50	90.91	1	0	2	0	0	1	1	0	0	0	0.0	4.569070721634537
10	150	139.83	1	0	3	1	1	0	1	0	0	0	0.0	5.011530623264895
1	425	470.65	1	0	3	0	1	0	1	0	0	0	0.0	6.264703433287447
1	50	59.13	1	0	3	1	0	1	1	0	0	0	0.0	4.128144800995478
1	425	399.72	1	1	2	0	1	0	1	0	1	0	0.0	6.095527038837355
4	150	134.24	0	1	3	0	0	1	1	0	1	0	0.0	4.9695574575106045
10	275	290.55	0	1	2	0	0	1	1	0	0	0	0.0	5.765620965464694
4	50	87.69	1	0	2	0	0	1	1	0	0	0	0.0	4.532061539996632
4	50	49.8	1	0	3	1	0	1	1	0	0	0	0.0	3.9524173891482492
1	275	253.18	0	1	2	0	1	1	1	0	0	0	0.0	5.623421548485209
2	150	156.4	0	1	2	0	0	1	1	0	0	0	0.0	5.126796217432852
11	150	140.07	0	1	3	1	0	1	1	0	0	0	0.0	5.013295128327187
3	150	188.19	1	0	3	0	1	0	1	0	1	0	0.0	5.31740784818782
1	50	35.23	1	0	3	1	1	0	1	0	0	0	0.0	3.598758966566698
6	275	232.94	1	0	2	1	1	1	1	0	0	0	0.0	5.537418468988387
1	1000	1281.48	1	0	3	1	1	0	1	0	0	0	0.0	7.305578831050356
3	625	542.16	1	0	3	1	1	0	1	0	1	0	0.0	6.411323531484042
6	625	507.25	0	1	3	1	1	0	1	0	0	0	0.0	6.342316993191567
10	50	29.99	1	0	1	0	0	1	1	0	0	0	0.0	3.434456884946614
7	50	60.02	1	0	2	1	1	0	1	0	0	0	0.0	4.1434408019822
6	50	98.8	0	1	1	1	1	0	1	0	1	0	0.0	4.654513401955326
5	625	556.5	0	1	1	1	0	1	1	0	0	0	0.0	6.438397500831866
9	150	172.14	0	1	3	0	1	0	1	0	0	0	0.0	5.225551933997015
8	275	267.25	0	1	2	0	1	0	1	0	0	0	0.0	5.679269293619424
4	50	72.66	0	1	2	1	1	0	1	0	0	0	0.0	4.339231819596787
10	50	62.63	0	1	2	1	1	0	1	0	0	0	0.0	4.187030559601012
9	50	54.34	1	0	2	0	1	0	1	0	1	0	0.0	4.041675506901107
5	275	247.82	1	0	3	0	1	0	1	0	0	0	0.0	5.601330462431581
11	150	178.56	1	0	3	0	1	0	1	0	0	0	0.0	5.263276738371664
2	50	86.38	1	0	3	1	0	1	1	0	0	0	0.0	4.51661683870051
10	50	57.71	0	1	2	0	0	1	1	0	0	0	0.0	4.103259502038909
6	50	40.24	1	0	2	1	1	0	1	0	0	0	0.0	3.7345360437382564
9	625	535.17	0	1	2	1	0	1	1	0	0	0	0.0	6.397867190936472
1	50	29.99	1	0	3	1	1	0	1	0	0	0	0.0	3.434456884946614
3	50	68.81	0	1	3	0	1	0	1	0	0	0	0.0	4.283435316509049
7	625	578.35	0	1	2	1	0	1	1	0	1	0	0.0	6.478344950704613
4	425	474.94	0	1	3	1	0	1	1	0	0	0	0.0	6.274105492378295
6	50	32.17	1	0	3	1	1	0	1	0	0	0	0.0	3.5060325249424835
8	1000	1137.96	0	1	2	1	1	0	1	0	0	0	0.0	7.181834991764246
3	150	177.36	0	1	2	1	0	1	1	0	0	0	0.0	5.25632894093343
7	275	348.44	0	1	2	1	0	1	1	0	0	0	0.0	5.953455277337216
11	50	29.99	0	1	1	0	0	1	1	0	0	0	0.0	3.434456884946614
9	150	129.46	1	0	3	1	1	0	1	0	0	0	0.0	4.932264230839539
4	275	218.92	0	1	2	0	0	1	1	0	1	0	0.0	5.473371707836447
3	150	109.34	0	1	2	0	1	0	1	0	0	0	0.0	4.758631329924255
2	50	32.18	1	0	2	1	0	1	1	0	0	0	0.0	3.506349614088131
5	625	728.99	1	0	3	1	0	1	1	0	0	0	0.0	6.7186405124007615
9	425	483.16	1	1	3	0	1	0	1	0	1	0	0.0	6.291887061534326
1	50	89.59	0	1	2	1	0	1	1	0	0	0	0.0	4.554059386129242
9	275	302.52	1	0	3	0	1	0	1	0	0	0	0.0	5.80734084782647
5	50	29.99	0	1	3	0	0	1	1	0	0	0	0.0	3.434456884946614
1	425	386.11	1	1	3	0	1	1	1	0	0	0	0.0	6.059670007288839
9	275	205.33	1	0	2	1	1	1	1	0	0	0	0.0	5.407271663722464
1	625	629.85	1	0	3	1	0	1	1	0	1	0	0.0	6.5668583872550395
9	425	383.77	0	1	2	1	1	0	1	0	1	0	0.0	6.053378647672795
12	50	63.28	1	0	3	1	1	0	1	0	0	0	0.0	4.197605287527796
6	150	108.83	1	0	3	0	1	0	1	0	0	0	0.0	4.753827740076807
10	425	489.29	0	1	2	0	1	0	1	0	0	0	0.0	6.304952822200851
2	150	199.97	0	1	2	0	1	0	1	0	0	0	0.0	5.379997240406091
9	150	199.38	0	1	3	1	1	0	1	0	0	0	0.0	5.3769507216349615
3	50	66.47	1	0	1	1	0	1	1	0	0	0	0.0	4.247985225431178
12	50	90.15	1	0	2	0	0	1	1	0	0	0	0.0	4.560454511146068
1	625	681.12	1	0	1	1	1	0	1	0	0	0	0.0	6.648099275099516
2	425	378.5	0	1	3	0	0	1	1	0	1	1	80.58	6.039068829537995
9	50	89.96	1	0	2	0	0	1	1	0	1	0	0.0	4.558289174407246
8	150	135.67	1	0	1	1	0	1	1	0	0	0	0.0	4.9804579083641585
12	50	36.67	0	1	3	0	0	1	1	0	1	1	195.83	3.639656691599382
1	625	563.7	1	0	2	1	1	1	1	0	0	0	0.0	6.45173066305836
6	275	265.2	1	0	2	0	1	0	1	0	0	0	0.0	5.671316800070042
11	275	206.97	1	0	2	0	0	1	1	0	0	0	0.0	5.415475519001759
7	1000	1222.53	1	1	1	1	1	0	1	0	1	0	0.0	7.256506841123524
5	50	67.55	1	0	2	0	1	0	1	0	0	0	0.0	4.264498460216631
9	150	108.59	1	0	1	1	0	1	1	0	0	0	0.0	4.75155947772798
7	150	153.17	1	0	1	0	1	0	1	0	0	0	0.0	5.10531166770269
12	150	145.27	1	0	3	1	0	1	1	0	0	0	0.0	5.050805473473118
6	50	65.1	1	0	3	0	1	0	1	0	0	0	0.0	4.226649780416704
9	275	297.59	0	1	2	1	1	0	1	0	1	1	118.39	5.790360298865833
7	425	409.76	1	1	3	0	1	1	1	0	0	0	0.0	6.1212088556719415
9	50	60.15	0	1	2	0	0	1	1	0	0	0	0.0	4.145656154070798
1	50	87.0	0	1	1	1	1	0	1	0	0	0	0.0	4.5239553605257266
3	625	708.62	0	1	2	1	1	0	1	0	0	0	0.0	6.689203459331231
3	50	29.99	1	0	3	1	1	0	1	0	0	0	0.0	3.434456884946614
4	625	737.33	0	1	2	1	0	1	1	0	0	0	0.0	6.73045750778336
12	50	29.99	1	0	3	1	0	1	1	0	0	0	0.0	3.434456884946614
11	50	29.99	0	1	2	0	0	1	1	0	0	0	0.0	3.434456884946614
7	875	758.59	0	1	2	1	0	1	1	0	0	0	0.0	6.759989932265347
4	150	174.55	1	0	1	1	0	1	1	0	0	0	0.0	5.239874916870933
6	275	334.34	0	1	1	0	1	1	1	0	1	0	0.0	5.91073353209112
12	150	108.83	1	0	1	0	0	1	1	0	1	0	0.0	4.753827740076807
10	275	319.45	0	1	3	0	1	0	1	0	0	0	0.0	5.863628035026209
10	50	29.99	1	0	2	1	0	1	1	0	0	0	0.0	3.434456884946614
10	150	102.82	1	0	2	1	0	1	1	0	0	0	0.0	4.695471687710805
4	625	739.84	1	0	3	1	1	0	1	0	0	0	0.0	6.7339879350185035
6	150	161.43	0	1	2	0	0	1	1	0	1	0	0.0	5.159390544602871
10	50	51.33	1	0	2	1	0	1	1	0	0	0	0.0	3.9833707088192347
2	150	159.22	0	1	2	0	0	1	1	0	0	0	0.0	5.145195951067773
10	150	163.8	0	1	3	1	0	1	1	0	0	0	0.0	5.174399692179498
7	150	147.81	1	0	2	1	0	1	1	0	0	0	0.0	5.068645196086763
7	625	508.18	1	0	3	1	0	1	1	0	0	0	0.0	6.344215784680321
5	50	30.59	0	1	3	1	0	1	1	0	0	0	0.0	3.454659829474574
2	50	50.37	1	0	3	0	1	0	1	0	0	0	0.0	3.964058136965303
2	150	186.51	0	1	2	0	1	0	1	0	0	0	0.0	5.308165676932011
9	425	433.89	0	1	1	0	1	0	1	0	0	0	0.0	6.1804593745757295
2	50	44.37	0	1	2	0	0	1	1	0	0	0	0.0	3.834371910846804
2	275	202.92	0	1	2	0	1	0	1	0	0	0	0.0	5.395097018459294
10	275	226.15	0	1	2	1	1	1	1	0	0	0	0.0	5.506893308094257
6	625	549.78	1	0	2	1	0	1	1	0	0	0	0.0	6.425797560914096
4	275	316.87	0	1	3	1	0	1	1	0	0	0	0.0	5.855244651813632
2	275	210.51	0	1	3	0	1	0	1	0	1	0	0.0	5.432965704092518
9	275	301.15	1	1	2	0	1	0	1	0	1	0	0.0	5.802649879271223
9	50	29.99	0	1	2	1	0	1	1	0	0	0	0.0	3.434456884946614
4	275	209.79	0	1	1	0	1	1	1	0	1	0	0.0	5.429432189416052
3	50	34.22	1	0	3	1	1	0	1	0	0	0	0.0	3.5690696254080914
6	50	97.9	0	1	2	1	1	0	1	0	0	0	0.0	4.645116785482658
12	50	88.65	1	0	2	0	0	1	1	0	0	0	0.0	4.543234831819765
7	150	157.63	1	0	3	1	1	0	1	0	0	0	0.0	5.134861860552577
3	50	29.99	0	1	3	1	1	0	1	0	0	0	0.0	3.434456884946614
10	150	119.63	0	1	1	0	0	1	1	0	0	0	0.0	4.851066655865837
2	425	458.41	0	1	2	0	1	1	1	0	0	0	0.0	6.237402093056631
5	150	135.64	1	0	3	0	0	1	1	0	0	0	0.0	4.980230402920846
1	625	525.42	0	1	3	1	1	0	1	0	0	0	0.0	6.378802820311397
1	275	303.34	1	1	3	0	0	1	1	0	1	0	0.0	5.810138487125118
5	50	50.63	1	0	3	0	1	0	1	0	0	0	0.0	3.969324522616352
6	275	333.21	1	0	3	1	1	0	1	0	0	0	0.0	5.9072325655011335
2	625	584.37	1	0	3	1	1	1	1	0	1	0	0.0	6.489087537581223
4	50	53.42	0	1	2	0	1	0	1	0	0	0	0.0	4.024202694508826
6	150	178.37	1	0	2	1	0	1	1	0	1	0	0.0	5.2621797693702
2	625	675.88	1	1	3	1	1	0	1	0	0	0	0.0	6.6400801955595865
7	275	340.72	1	0	3	0	0	1	1	0	0	0	0.0	5.930281970658464
9	150	100.86	1	0	2	1	1	0	1	0	0	0	0.0	4.675704780713746
2	275	243.5	1	1	2	0	1	0	1	0	0	0	0.0	5.583177183710174
8	50	58.28	0	1	3	0	1	0	1	0	0	0	0.0	4.113321039314759
3	275	222.8	1	0	3	0	0	1	1	0	0	0	0.0	5.491495692681708
1	50	29.99	1	0	1	1	0	1	1	0	0	0	0.0	3.434456884946614
6	150	105.87	1	0	2	1	0	1	1	0	0	0	0.0	4.7254983807538915
1	50	29.99	1	0	2	0	0	1	1	0	1	0	0.0	3.434456884946614
10	275	300.6	1	1	3	0	1	1	1	0	0	0	0.0	5.800760672317725
2	625	518.53	0	1	2	1	1	0	1	0	1	0	0.0	6.36511736042517
3	425	454.0	0	1	3	0	1	1	1	0	0	0	0.0	6.227387622785799
1	425	406.33	0	1	2	0	0	1	1	0	0	0	0.0	6.1125061347400464
11	50	98.05	0	1	2	1	0	1	1	0	0	0	0.0	4.646688837267215
10	50	33.57	1	0	3	0	1	0	1	0	0	0	0.0	3.549498249206189
1	425	382.15	0	1	3	0	1	0	1	0	1	0	0.0	6.049000708872608
5	50	63.2	0	1	1	0	1	0	1	0	0	0	0.0	4.196309625434315
3	150	123.2	1	0	3	1	1	0	1	0	0	0	0.0	4.881297848627774
9	50	46.56	1	0	2	0	0	1	1	0	1	0	0.0	3.8836230958847473
2	150	180.48	1	0	3	0	1	0	1	0	0	0	0.0	5.274297231695089
7	150	139.53	0	1	2	1	1	0	1	0	0	0	0.0	5.009320752797335
2	425	424.44	0	1	3	0	1	0	1	0	0	0	0.0	6.15765501654544
1	875	804.15	1	1	2	1	1	1	1	0	1	0	0.0	6.82059985874859
11	50	85.29	0	1	2	0	1	0	1	0	0	0	0.0	4.503587358242814
4	275	307.66	1	0	3	1	0	1	1	0	1	0	0.0	5.824754225810454
11	150	123.25	1	0	2	0	0	1	1	0	0	0	0.0	4.881715041288376
3	275	261.43	0	1	3	1	0	1	1	0	0	0	0.0	5.656531105470012
1	150	143.84	0	1	1	1	1	0	1	0	0	0	0.0	5.0406249048269025
9	150	152.55	0	1	1	1	1	0	1	0	0	0	0.0	5.101136210468374
9	275	314.36	0	1	3	0	1	0	1	0	0	0	0.0	5.847023341185756
6	50	29.99	0	1	3	0	1	0	1	0	0	0	0.0	3.434456884946614
9	625	718.97	0	1	1	1	1	1	1	0	0	0	0.0	6.704264064988266
5	50	29.99	0	1	1	1	0	1	1	0	0	0	0.0	3.434456884946614
10	150	110.84	1	0	2	0	1	0	1	0	0	0	0.0	4.772631490830494
10	275	312.03	0	1	1	0	0	1	1	0	0	0	0.0	5.839332984248244
5	275	258.91	0	1	3	1	0	1	1	0	1	0	0.0	5.646529143456765
2	150	101.67	1	0	2	1	0	1	1	0	0	0	0.0	4.683919666022374
1	150	114.68	1	0	1	0	0	1	1	0	0	0	0.0	4.807630907853915
8	50	37.74	0	1	2	1	1	0	1	0	0	0	0.0	3.669024810324115
7	50	29.99	1	0	3	1	1	0	1	0	0	0	0.0	3.434456884946614
4	50	99.39	1	0	2	0	1	0	1	0	0	0	0.0	4.660627336809919
7	275	213.26	1	1	3	1	1	0	1	0	0	0	0.0	5.446352064341145
12	150	159.93	1	0	3	0	1	0	1	0	0	0	0.0	5.149777449814809
3	50	70.91	0	1	3	1	0	1	1	0	0	0	0.0	4.314243509552821
9	150	173.88	0	1	2	0	1	0	1	0	1	1	58.13	5.235912837696409
9	425	428.99	1	0	3	0	1	1	1	0	0	0	0.0	6.168697230536358
8	425	492.53	1	1	1	1	1	0	1	0	0	0	0.0	6.311793112517515
1	50	81.12	0	1	3	0	0	1	1	0	1	0	0.0	4.452164287989522
10	50	56.6	1	0	3	0	1	0	1	0	0	0	0.0	4.083379231633406
1	275	249.24	0	1	3	1	1	1	1	0	0	0	0.0	5.6072288660588585
2	150	122.01	0	1	3	1	0	1	1	0	0	0	0.0	4.871318665473024
1	275	283.63	0	1	2	1	1	0	1	0	0	0	0.0	5.740715528792298
4	150	116.37	1	0	3	0	0	1	1	0	0	0	0.0	4.822666556249592
11	50	82.57	1	0	2	0	1	0	1	0	1	0	0.0	4.470337305172852
10	150	167.85	0	1	2	0	0	1	1	0	0	0	0.0	5.199555373065818
7	625	662.26	1	0	3	1	1	1	1	0	0	0	0.0	6.618944025867768
6	150	109.99	1	0	3	1	0	1	1	0	0	0	0.0	4.764721365908242
3	875	816.52	1	1	3	1	1	0	1	0	0	0	0.0	6.836467027501775
7	50	96.76	1	0	3	1	0	1	1	0	0	0	0.0	4.633090340396582
9	50	72.97	1	0	3	1	0	1	1	0	0	0	0.0	4.343595856498221
7	50	29.99	1	0	3	0	0	1	1	0	0	0	0.0	3.434456884946614
11	150	133.15	1	0	3	1	1	0	1	0	0	0	0.0	4.961170902849117
9	150	151.22	1	0	3	0	1	0	1	0	0	0	0.0	5.092121971138133
3	150	106.7	1	0	3	0	1	0	1	0	1	0	0.0	4.73352075881987
8	50	51.71	1	0	1	0	0	1	1	0	1	0	0.0	3.99091623534847
9	50	61.26	0	1	3	0	1	0	1	0	0	0	0.0	4.164380279659076
8	50	29.99	1	0	3	0	1	0	1	0	0	0	0.0	3.434456884946614
8	275	216.61	1	1	3	1	1	0	1	0	0	0	0.0	5.462429107782788
8	625	668.22	1	1	3	1	1	0	1	0	1	0	0.0	6.628245724501631
4	150	133.51	1	0	3	1	1	0	1	0	0	0	0.0	4.9639482994272885
11	50	51.84	1	0	3	0	0	1	1	0	0	0	0.0	3.993484949046785
6	50	29.99	0	1	3	1	0	1	1	0	0	0	0.0	3.434456884946614
3	150	111.42	1	0	2	1	0	1	1	0	0	0	0.0	4.777994446426326
1	425	487.47	1	0	3	0	1	0	1	0	1	0	0.0	6.301090656471647
9	150	180.37	0	1	2	0	0	1	1	0	0	0	0.0	5.273669003924541
2	625	516.56	0	1	2	1	1	0	1	0	0	0	0.0	6.361171144067659
4	625	553.91	0	1	1	1	1	0	1	0	1	0	0.0	6.433559282234095
4	50	85.84	1	0	2	1	0	1	1	0	0	0	0.0	4.510182427301502
1	50	42.86	1	0	3	1	0	1	1	0	0	0	0.0	3.7989846896112254
1	275	304.38	1	0	2	0	0	1	1	0	0	0	0.0	5.813675916665842
7	150	149.34	1	0	3	0	1	0	1	0	1	0	0.0	5.079244658785088
5	425	403.95	0	1	1	0	0	1	1	0	0	0	0.0	6.1064244818804685
4	425	412.95	1	0	3	0	0	1	1	0	0	0	0.0	6.129237879962532
8	275	254.17	1	1	3	0	1	1	1	0	0	0	0.0	5.627450882032096
1	50	29.99	0	1	2	0	1	0	1	0	1	0	0.0	3.434456884946614
2	50	29.99	1	0	2	1	1	0	1	0	0	0	0.0	3.434456884946614
6	50	33.23	1	0	1	0	0	1	1	0	0	0	0.0	3.539110301663944
9	50	29.99	1	0	2	1	0	1	1	0	0	0	0.0	3.434456884946614
5	50	29.99	1	0	2	0	0	1	1	0	0	0	0.0	3.434456884946614
5	275	253.1	0	1	3	1	1	0	1	0	0	0	0.0	5.623095262011009
4	50	39.2	1	0	3	1	0	1	1	0	0	0	0.0	3.7077889486686577
1	275	269.99	1	1	3	0	1	1	1	0	0	0	0.0	5.68980429435637
2	50	48.16	0	1	3	0	0	1	1	0	1	0	0.0	3.918170712165981
3	275	286.27	1	0	2	0	1	1	1	0	0	0	0.0	5.750287577011248
4	625	575.31	0	1	3	1	0	1	1	0	0	0	0.0	6.47287780286205
4	275	323.02	0	1	2	0	0	1	1	0	0	0	0.0	5.875117947711996
10	425	406.53	0	1	2	0	1	1	1	0	0	0	0.0	6.113015583806015
3	150	125.23	1	0	2	0	0	1	1	0	0	0	0.0	4.8981020202626855
2	150	126.66	0	1	2	1	1	0	1	0	0	0	0.0	4.909777639669824
6	50	29.99	0	1	3	1	1	0	1	0	0	0	0.0	3.434456884946614
7	625	638.44	1	1	1	1	0	1	1	0	0	0	0.0	6.580918301644884
5	150	132.61	1	0	1	0	0	1	1	0	0	0	0.0	4.956990777814851
11	150	134.41	1	0	2	1	1	0	1	0	0	0	0.0	4.970859345969231
10	275	202.56	0	1	3	0	1	0	1	0	0	0	0.0	5.393266068065838
3	275	263.14	1	1	1	0	0	1	1	0	0	0	0.0	5.6632637081321535
9	50	59.89	1	0	2	0	0	1	1	0	0	0	0.0	4.141220674108868
9	50	29.99	1	0	2	0	1	0	1	0	1	0	0.0	3.434456884946614
1	150	187.79	0	1	3	1	1	0	1	0	0	0	0.0	5.315214793329998
2	50	29.99	1	0	2	0	1	0	1	0	0	0	0.0	3.434456884946614
10	50	93.7	0	1	2	0	1	0	1	0	1	0	0.0	4.600098674529044
4	625	545.6	0	1	2	1	0	1	1	0	0	0	0.0	6.417882619322647
10	50	29.99	0	1	2	1	1	0	1	0	0	0	0.0	3.434456884946614
1	625	712.91	1	0	2	1	1	0	1	0	0	0	0.0	6.695472339221361
